,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
2128,FERG,211.39,210.64,185.81,178.94,172.81,133.83,223.85,103.97,True,True,True,True,True,True,True,True,True
2150,FHB,21.68,21.25,20.43,20.21,19.95,15.62,23.14,73.81,True,True,True,True,True,True,True,True,True
2153,FHN,14.94,14.56,13.22,13.08,12.78,9.67,17.59,77.78,True,True,True,True,True,True,True,True,True
2155,FI,157.4,151.78,135.07,132.37,129.32,109.61,159.82,105.56,True,True,True,True,True,True,True,True,True
2159,FIF,18.22,17.4,16.34,16.07,15.71,13.86,18.44,106.35,True,True,True,True,True,True,True,True,True
2165,FIP,7.14,5.66,4.3,4.1,3.8,2.66,7.14,99.21,True,True,True,True,True,True,True,True,True
2166,FIS,71.78,69.33,61.05,60.19,58.57,47.16,74.18,86.51,True,True,True,True,True,True,True,True,True
2168,FITB,36.6,35.25,31.36,30.33,29.44,22.89,37.21,94.44,True,True,True,True,True,True,True,True,True
2174,FIX,303.47,297.99,226.77,214.3,200.32,131.88,323.4,92.86,True,True,True,True,True,True,True,True,True
2190,FLR,40.21,39.47,37.99,36.79,35.66,25.83,42.78,84.13,True,True,True,True,True,True,True,True,True
2191,FLS,46.97,44.61,40.91,40.34,39.38,32.12,47.89,102.38,True,True,True,True,True,True,True,True,True
2195,FLXS,38.67,36.1,25.84,24.53,22.66,15.96,41.31,103.17,True,True,True,True,True,True,True,True,True
2245,FPL,7.69,7.33,6.91,6.76,6.6,5.73,7.72,96.03,True,True,True,True,True,True,True,True,True
2250,FRD,19.29,18.25,15.13,15.08,14.29,9.55,19.31,97.62,True,True,True,True,True,True,True,True,True
2251,FREE,4.82,4.77,3.91,3.9,3.76,2.27,4.84,89.68,True,True,True,True,True,True,True,True,True
2259,FRME,34.4,33.71,32.43,31.95,31.45,24.89,37.94,70.63,True,True,True,True,True,True,True,True,True
2271,FSCO,5.95,5.82,5.67,5.55,5.44,4.17,5.99,108.73,True,True,True,True,True,True,True,True,True
2273,FSEA,8.66,8.56,7.74,7.72,7.66,6.26,9.13,76.19,True,True,True,True,True,True,True,True,True
2279,FSM,4.6,3.6,3.39,3.34,3.22,2.64,4.8,73.81,True,True,True,True,True,True,True,True,True
2281,FSS,82.73,81.74,72.93,69.84,67.8,49.89,86.54,98.41,True,True,True,True,True,True,True,True,True
2285,FTAI,73.44,62.53,49.15,45.5,41.69,26.95,73.44,103.17,True,True,True,True,True,True,True,True,True
2298,FTI,25.57,23.67,21.35,20.69,19.71,12.81,26.95,96.03,True,True,True,True,True,True,True,True,True
2300,FTLF,28.98,24.13,21.57,20.64,19.62,15.28,29.6,90.48,True,True,True,True,True,True,True,True,True
2312,FUNC,22.27,22.13,20.41,19.4,18.68,12.56,23.85,89.68,True,True,True,True,True,True,True,True,True
2316,FUSN,21.41,16.25,9.47,7.91,6.32,2.37,21.43,90.48,True,True,True,True,True,True,True,True,True
2317,FUTU,59.3,55.15,54.75,54.41,52.9,36.86,65.4,88.1,True,True,True,True,True,True,True,True,True
2331,GAIA,3.92,3.18,2.88,2.76,2.65,2.12,3.93,85.71,True,True,True,True,True,True,True,True,True
2336,GALT,3.2,2.49,2.08,1.97,1.79,1.32,4.2,82.54,True,True,True,True,True,True,True,True,True
2346,GATO,10.18,7.84,6.43,6.01,5.5,3.71,10.18,83.33,True,True,True,True,True,True,True,True,True
2348,GAU,1.43,1.22,0.88,0.82,0.73,0.52,1.55,84.13,True,True,True,True,True,True,True,True,True
2352,GBCI,38.23,37.76,35.96,34.83,34.37,27.28,43.46,80.95,True,True,True,True,True,True,True,True,True
2353,GBDC,17.2,16.14,15.28,15.01,14.71,13.02,17.2,115.08,True,True,True,True,True,True,True,True,True
2359,GBX,52.65,50.68,44.34,44.11,42.47,25.68,54.48,84.92,True,True,True,True,True,True,True,True,True
2362,GCMG,9.47,8.95,8.56,8.37,8.18,6.86,9.66,99.21,True,True,True,True,True,True,True,True,True
2364,GCT,36.0,33.25,20.59,18.12,15.69,5.01,43.15,101.59,True,True,True,True,True,True,True,True,True
2368,GD,293.08,279.72,257.3,248.41,241.31,204.18,295.18,89.68,True,True,True,True,True,True,True,True,True
2370,GDDY,122.96,117.89,101.2,94.32,89.64,69.24,126.8,120.63,True,True,True,True,True,True,True,True,True
2384,GE,157.76,136.74,109.42,104.62,98.35,76.78,157.76,110.32,True,True,True,True,True,True,True,True,True
2395,GENC,17.12,16.6,15.57,15.33,15.13,12.63,17.73,81.75,True,True,True,True,True,True,True,True,True
2399,GEO,15.06,13.37,11.02,10.07,9.35,6.95,15.93,75.4,True,True,True,True,True,True,True,True,True
2410,GFI,16.7,15.29,14.12,13.95,13.68,10.4,18.19,73.81,True,True,True,True,True,True,True,True,True
2414,GGAL,31.34,24.56,18.44,17.98,16.91,10.93,31.34,114.29,True,True,True,True,True,True,True,True,True
2427,GHM,28.65,26.25,20.74,19.34,17.79,10.95,33.16,91.27,True,True,True,True,True,True,True,True,True
2433,GIFI,6.8,6.14,4.79,4.43,4.08,2.99,7.72,92.86,True,True,True,True,True,True,True,True,True
2436,GIL,35.49,35.45,33.17,32.44,31.96,27.15,37.85,77.78,True,True,True,True,True,True,True,True,True
2445,GKOS,99.99,92.12,80.52,79.11,76.42,45.44,101.31,88.1,True,True,True,True,True,True,True,True,True
2461,GLP,46.56,46.28,40.13,38.08,36.66,28.35,49.5,96.03,True,True,True,True,True,True,True,True,True
2479,GMGI,3.28,2.95,2.69,2.64,2.58,1.96,3.46,77.78,True,True,True,True,True,True,True,True,True
2485,GNK,21.13,20.0,16.77,16.03,15.41,12.41,21.18,91.27,True,True,True,True,True,True,True,True,True
2503,GOGL,13.3,12.63,10.1,9.45,8.94,6.9,13.93,73.02,True,True,True,True,True,True,True,True,True
2510,GOOG,159.3,147.93,141.42,138.63,135.39,104.45,160.79,101.59,True,True,True,True,True,True,True,True,True
2511,GOOGL,157.68,146.71,140.12,137.5,134.33,103.71,159.41,104.76,True,True,True,True,True,True,True,True,True
2525,GPK,27.22,27.18,24.58,24.17,23.84,20.17,29.4,84.92,True,True,True,True,True,True,True,True,True
2528,GPOR,155.32,149.73,134.55,128.56,123.22,81.59,162.03,92.86,True,True,True,True,True,True,True,True,True
2544,GRIN,13.66,10.69,9.77,9.42,9.06,7.11,14.03,96.03,True,True,True,True,True,True,True,True,True
2545,GRMN,142.6,140.77,124.97,120.01,116.21,95.2,149.0,98.41,True,True,True,True,True,True,True,True,True
2546,GRND,9.7,9.51,7.96,7.36,6.94,4.69,10.84,86.51,True,True,True,True,True,True,True,True,True
2561,GS,418.23,397.1,363.76,356.89,349.12,289.91,418.23,82.54,True,True,True,True,True,True,True,True,True
2577,GTES,17.6,16.22,13.52,13.27,12.86,10.75,17.74,88.1,True,True,True,True,True,True,True,True,True
2578,GTHX,4.22,3.66,2.79,2.6,2.42,1.12,4.88,82.54,True,True,True,True,True,True,True,True,True
2584,GTX,9.67,9.55,8.54,8.33,8.13,7.02,10.03,87.3,True,True,True,True,True,True,True,True,True
2591,GVA,54.37,53.44,47.11,45.64,44.14,33.97,57.36,86.51,True,True,True,True,True,True,True,True,True
2615,HAYN,60.22,59.92,53.31,52.27,51.27,41.28,60.68,96.83,True,True,True,True,True,True,True,True,True
2617,HBAN,13.59,13.27,12.01,11.86,11.59,9.28,14.04,76.98,True,True,True,True,True,True,True,True,True
2621,HBB,22.56,21.23,17.17,15.61,14.33,9.21,24.82,91.27,True,True,True,True,True,True,True,True,True
2625,HBM,7.72,6.64,5.48,5.4,5.14,4.07,7.98,83.33,True,True,True,True,True,True,True,True,True
2626,HBNC,12.22,12.1,11.89,11.78,11.65,7.75,14.65,79.37,True,True,True,True,True,True,True,True,True
2630,HCC,64.72,59.28,56.72,52.82,50.49,32.78,69.97,103.17,True,True,True,True,True,True,True,True,True
2631,HCI,114.82,107.75,86.61,79.31,74.2,48.14,118.96,87.3,True,True,True,True,True,True,True,True,True
2646,HEI,204.51,191.83,178.14,176.3,174.22,154.58,204.51,94.44,True,True,True,True,True,True,True,True,True
2652,HESM,35.43,35.0,32.41,31.85,31.31,27.04,36.48,105.56,True,True,True,True,True,True,True,True,True
2667,HIBB,86.47,74.32,63.57,58.39,54.98,35.28,86.47,81.75,True,True,True,True,True,True,True,True,True
2670,HIG,100.1,97.87,84.56,81.57,78.84,68.22,103.24,111.9,True,True,True,True,True,True,True,True,True
2677,HITI,2.17,1.96,1.74,1.64,1.55,1.19,2.61,83.33,True,True,True,True,True,True,True,True,True
2685,HLI,129.35,127.04,116.72,113.26,110.18,86.32,132.64,103.17,True,True,True,True,True,True,True,True,True
2691,HLNE,112.65,111.94,103.77,100.25,96.97,64.19,119.83,89.68,True,True,True,True,True,True,True,True,True
2696,HLX,11.02,10.36,10.08,9.94,9.55,6.28,11.87,95.24,True,True,True,True,True,True,True,True,True
2699,HMN,36.56,35.86,33.69,32.5,31.94,27.94,37.72,88.89,True,True,True,True,True,True,True,True,True
2702,HMY,8.63,7.47,6.05,5.57,5.14,3.51,9.29,77.78,True,True,True,True,True,True,True,True,True
2720,HOOD,17.68,16.95,12.51,12.22,11.43,7.93,20.13,100.0,True,True,True,True,True,True,True,True,True
2734,HPH,9.18,8.17,6.09,6.04,5.71,2.16,9.59,88.1,True,True,True,True,True,True,True,True,True
2753,HRT,14.33,14.11,12.38,11.89,11.58,8.75,14.34,93.65,True,True,True,True,True,True,True,True,True
2754,HRTG,10.01,8.57,7.24,6.63,6.07,3.23,10.99,80.16,True,True,True,True,True,True,True,True,True
2775,HTGC,18.87,18.24,16.93,16.81,16.47,12.54,18.87,115.08,True,True,True,True,True,True,True,True,True
2781,HTLF,35.72,33.82,33.1,32.72,32.26,26.69,38.67,86.51,True,True,True,True,True,True,True,True,True
2786,HUBB,397.64,392.04,338.1,333.31,325.27,259.41,424.4,103.17,True,True,True,True,True,True,True,True,True
2789,HUBS,645.97,625.89,549.11,544.0,531.89,401.85,682.02,116.67,True,True,True,True,True,True,True,True,True
2801,HUYA,4.5,4.18,3.57,3.39,3.29,2.16,5.1,96.83,True,True,True,True,True,True,True,True,True
2804,HWC,45.65,43.6,42.02,41.94,41.5,32.31,49.36,85.71,True,True,True,True,True,True,True,True,True
2807,HWKN,76.35,73.06,66.25,63.13,60.46,39.71,79.17,82.54,True,True,True,True,True,True,True,True,True
2826,IAG,3.68,3.12,2.64,2.6,2.51,2.02,3.76,74.6,True,True,True,True,True,True,True,True,True
2831,IBCP,25.06,24.26,22.88,22.0,21.39,15.41,27.0,80.16,True,True,True,True,True,True,True,True,True
2834,IBKR,112.94,108.96,92.84,92.0,89.09,71.41,114.76,100.79,True,True,True,True,True,True,True,True,True
2837,IBOC,55.93,53.56,49.8,48.93,48.06,40.33,56.14,78.57,True,True,True,True,True,True,True,True,True
2864,IDR,9.47,8.26,6.55,6.27,5.93,4.51,9.5,101.59,True,True,True,True,True,True,True,True,True
2865,IDT,37.1,37.01,32.43,30.22,29.18,21.96,38.41,85.71,True,True,True,True,True,True,True,True,True
2870,IESC,120.27,112.58,86.2,81.07,74.59,42.3,133.97,119.84,True,True,True,True,True,True,True,True,True
2873,IFF,85.15,81.68,76.7,75.91,75.3,62.82,97.14,79.37,True,True,True,True,True,True,True,True,True
2882,IGIC,13.33,13.12,12.4,11.78,11.34,8.0,13.91,85.71,True,True,True,True,True,True,True,True,True
2901,IIPR,98.1,97.08,89.16,86.98,84.54,64.22,104.35,103.17,True,True,True,True,True,True,True,True,True
2913,IMMP,2.55,2.44,2.19,2.15,2.11,1.54,2.89,78.57,True,True,True,True,True,True,True,True,True
2918,IMO,70.43,66.49,60.58,58.99,57.02,44.46,73.88,85.71,True,True,True,True,True,True,True,True,True
2921,IMPPP,24.42,23.37,21.27,20.89,20.49,18.05,24.5,90.48,True,True,True,True,True,True,True,True,True
2931,INBK,32.81,32.21,25.06,23.69,22.03,9.76,34.93,80.16,True,True,True,True,True,True,True,True,True
2932,INBKZ,23.66,23.24,22.12,22.03,21.65,17.0,23.83,84.92,True,True,True,True,True,True,True,True,True
2965,INSW,53.65,52.66,49.01,47.26,45.75,35.3,55.11,92.06,True,True,True,True,True,True,True,True,True
2977,INVA,15.09,15.05,14.71,14.29,14.1,11.44,16.78,83.33,True,True,True,True,True,True,True,True,True
2988,IOR,16.99,16.07,13.76,13.35,12.8,10.75,17.24,85.71,True,True,True,True,True,True,True,True,True
3014,IRIX,2.98,2.77,2.69,2.47,2.37,1.33,3.53,88.1,True,True,True,True,True,True,True,True,True
3034,ISTR,16.53,16.11,13.96,13.78,13.39,9.26,17.93,75.4,True,True,True,True,True,True,True,True,True
3037,ITCI,74.98,69.4,63.27,62.13,61.55,46.37,79.84,81.75,True,True,True,True,True,True,True,True,True
3038,ITGR,117.3,112.18,97.33,94.39,91.48,69.42,119.31,88.1,True,True,True,True,True,True,True,True,True
3044,ITRI,94.33,88.24,74.0,73.0,71.07,51.15,95.85,78.57,True,True,True,True,True,True,True,True,True
