,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
5654,USAP,26.86,22.75,18.26,17.26,16.06,True,8.55,27.0,92.06,True,True,True,True,True,True,True,True,True
5666,USLM,304.35,282.71,239.44,232.1,222.57,True,158.55,305.0,96.03,True,True,True,True,True,True,True,True,True
5680,UVE,20.15,19.3,16.87,16.17,15.82,True,12.03,21.09,75.4,True,True,True,True,True,True,True,True,True
5708,VCTR,50.52,40.91,35.47,34.98,33.8,True,28.64,50.52,123.02,True,True,True,True,True,True,True,True,True
5715,VEL,16.87,16.72,14.9,14.26,13.76,True,8.21,18.49,85.71,True,True,True,True,True,True,True,True,True
5728,VFF,1.36,1.01,0.86,0.84,0.77,True,0.56,1.5,80.95,True,True,True,True,True,True,True,True,True
5737,VIA,10.86,10.85,9.4,9.14,8.97,True,5.42,12.7,85.71,True,True,True,True,True,True,True,True,True
5751,VIRC,10.4,10.31,9.28,8.09,7.42,True,3.7,12.72,111.11,True,True,True,True,True,True,True,True,True
5753,VIRT,21.23,19.28,18.64,18.59,18.31,True,16.19,21.28,93.65,True,True,True,True,True,True,True,True,True
5756,VIST,44.27,39.35,33.04,31.26,29.48,True,18.99,44.27,97.62,True,True,True,True,True,True,True,True,True
5757,VITL,26.3,21.34,15.92,14.82,13.67,True,10.26,26.3,106.35,True,True,True,True,True,True,True,True,True
5765,VLGEA,27.56,27.14,25.52,24.94,24.42,True,20.42,28.61,84.92,True,True,True,True,True,True,True,True,True
5767,VLO,167.0,158.98,139.98,137.45,131.86,True,104.31,183.39,96.83,True,True,True,True,True,True,True,True,True
5783,VNO,27.7,26.54,25.31,24.54,23.51,True,12.38,31.34,80.16,True,True,True,True,True,True,True,True,True
5784,VNOM,39.81,37.17,32.37,31.18,29.88,True,24.86,40.8,95.24,True,True,True,True,True,True,True,True,True
5808,VRRM,24.45,23.41,21.75,21.18,20.68,True,16.41,25.16,114.29,True,True,True,True,True,True,True,True,True
5811,VRT,79.21,74.55,54.91,49.42,43.87,True,12.23,86.34,122.22,True,True,True,True,True,True,True,True,True
5812,VRTS,236.07,235.69,218.61,215.07,212.15,True,167.06,250.52,90.48,True,True,True,True,True,True,True,True,True
5818,VSEC,78.14,75.73,64.61,62.03,59.7,True,41.84,82.6,86.51,True,True,True,True,True,True,True,True,True
5821,VST,68.69,61.46,44.65,40.92,36.71,True,22.97,75.33,122.22,True,True,True,True,True,True,True,True,True
5825,VSTO,34.88,32.02,29.55,29.47,28.96,True,23.54,34.88,78.57,True,True,True,True,True,True,True,True,True
5842,VVI,35.99,35.9,32.58,31.46,30.38,True,17.38,39.49,86.51,True,True,True,True,True,True,True,True,True
5855,VZLA,1.35,1.28,1.21,1.18,1.15,True,0.95,1.63,73.02,True,True,True,True,True,True,True,True,True
5857,WAB,147.71,142.48,125.51,122.23,118.25,True,92.63,150.5,101.59,True,True,True,True,True,True,True,True,True
5862,WAL,60.42,59.37,55.53,53.73,51.64,True,18.2,70.11,76.98,True,True,True,True,True,True,True,True,True
5878,WD,95.13,94.09,88.71,88.15,86.67,True,62.83,113.15,76.19,True,True,True,True,True,True,True,True,True
