,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
2849,INFU,8.14,8.82,9.46,9.68,9.81,False,7.74,11.25,76.19,False,False,False,False,False,False,False,True,False
2850,INFY,17.19,18.72,18.24,17.95,17.78,True,14.79,20.61,88.1,False,True,True,True,False,False,True,True,False
2851,ING,16.7,15.22,14.24,14.25,13.94,True,11.98,17.11,103.17,True,False,True,False,True,True,True,True,False
2852,INGN,6.99,7.55,6.21,6.45,6.81,False,4.21,13.86,72.22,True,False,False,False,False,True,False,True,False
2853,INGR,114.31,114.88,106.71,106.12,105.37,True,89.7,118.1,85.71,True,True,True,True,False,False,True,True,False
2854,INKT,0.9,0.96,1.01,1.17,1.3,False,0.84,3.33,71.43,False,False,False,False,False,False,False,True,False
2855,INLX,7.44,7.86,5.81,5.33,4.99,True,3.33,10.1,96.83,True,True,True,True,False,True,False,True,False
2856,INM,0.28,0.36,0.44,0.56,0.63,False,0.28,1.4,55.56,False,False,False,False,False,False,False,False,False
2857,INMB,10.26,11.51,9.99,9.61,9.5,True,6.6,14.01,80.95,True,True,True,True,False,True,False,True,False
2858,INMD,17.55,20.8,22.57,27.09,28.76,False,17.14,46.04,69.84,False,False,False,False,False,False,False,False,False
2859,INN,6.36,6.42,6.3,6.22,6.23,True,5.37,7.13,76.19,True,True,True,True,False,False,True,True,False
2860,INNV,4.01,4.63,5.39,5.66,5.94,False,3.91,7.86,77.78,False,False,False,False,False,False,False,True,False
2861,INO,10.53,10.29,7.14,6.76,6.21,True,4.2,13.88,66.67,True,True,True,True,True,True,True,False,False
2862,INOD,5.88,7.1,7.91,8.89,9.35,False,5.69,14.91,70.63,False,False,False,False,False,False,False,True,False
2863,INSE,8.99,9.44,9.53,10.38,10.85,False,7.33,15.69,83.33,False,False,False,False,False,False,False,True,False
2864,INSG,3.05,2.82,2.85,3.79,4.24,False,1.8,11.8,59.52,False,False,False,False,True,True,False,False,False
2865,INSI,16.3,16.02,15.58,15.54,15.49,True,14.31,16.58,84.92,True,True,True,True,True,False,True,True,False
2866,INSM,25.52,27.23,26.85,25.77,25.14,True,18.38,31.74,84.92,False,True,True,True,False,True,True,True,False
2867,INSP,232.57,204.55,185.05,203.25,211.51,False,125.26,326.08,80.95,True,False,False,False,True,True,False,True,False
2868,INST,19.42,21.49,24.26,24.71,25.16,False,19.07,28.35,73.81,False,False,False,False,False,False,False,True,False
2869,INSW,54.33,52.68,49.01,47.26,45.75,True,35.3,55.11,92.06,True,True,True,True,True,True,True,True,True
2870,INTA,31.48,35.35,36.98,36.98,38.16,False,30.61,48.53,81.75,False,False,False,False,False,False,False,True,False
2871,INTC,34.44,41.47,41.54,39.91,39.45,True,27.4,50.76,102.38,False,True,True,False,False,False,False,True,False
2872,INTE,10.89,10.83,10.79,10.75,10.71,True,10.33,10.89,85.71,True,True,True,True,True,False,True,True,False
2873,INTG,21.15,21.73,23.85,26.62,28.0,False,16.7,40.5,70.63,False,False,False,False,False,False,False,True,False
2874,INTR,5.23,5.68,5.13,4.82,4.59,True,1.59,6.33,92.86,True,True,True,True,False,True,True,True,False
2875,INTS,4.05,4.3,4.44,4.78,,False,2.1,9.88,75.4,False,False,False,False,False,True,False,True,False
2876,INTT,11.33,11.74,12.67,14.15,15.4,False,10.86,26.91,76.98,False,False,False,False,False,False,False,True,False
2877,INTU,631.82,641.64,592.68,571.82,555.24,True,406.09,669.36,103.17,True,True,True,True,False,True,True,True,False
2878,INTZ,1.74,3.51,5.22,8.31,10.51,False,1.6,34.0,64.29,False,False,False,False,False,False,False,False,False
2879,INUV,0.34,0.39,0.33,0.31,0.3,True,0.17,0.51,84.13,True,True,True,True,False,True,False,True,False
2880,INVA,15.28,15.05,14.71,14.29,14.1,True,11.44,16.78,83.33,True,True,True,True,True,True,True,True,True
2881,INVE,4.99,7.29,7.35,7.59,7.78,True,4.81,9.0,88.89,False,False,True,False,False,False,False,True,False
2882,INVH,34.18,34.21,33.27,33.61,33.59,True,28.8,36.16,80.95,True,False,True,False,False,False,True,True,False
2883,INVO,1.31,1.05,1.15,1.44,1.7,False,0.54,7.74,60.32,False,False,False,False,True,True,False,False,False
2884,INVZ,0.96,1.41,1.74,2.01,2.16,False,0.95,4.1,59.52,False,False,False,False,False,False,False,False,False
2885,INZY,4.52,5.88,4.61,4.76,4.75,True,2.71,7.66,75.4,False,False,True,False,False,True,False,True,False
2886,IOBT,1.43,1.62,1.47,1.55,1.59,False,0.85,2.19,75.4,False,False,False,False,False,True,False,True,False
2887,IONM,0.59,0.47,0.34,0.4,0.42,False,0.21,3.67,66.67,True,False,False,False,True,True,False,False,False
2888,IONQ,8.0,9.55,11.55,12.7,12.97,True,5.31,19.86,69.84,False,False,True,False,False,True,False,False,False
2889,IONR,5.11,4.35,4.23,5.04,5.44,False,2.94,10.69,65.87,True,False,False,False,True,True,False,False,False
2890,IONS,42.1,43.76,46.94,45.38,45.24,True,34.73,53.55,84.92,False,True,True,False,False,False,True,True,False
2891,IOR,16.99,16.07,13.76,13.35,12.8,True,10.75,17.24,85.71,True,True,True,True,True,True,True,True,True
2892,IOSP,122.63,124.11,114.17,111.97,109.64,True,92.36,129.55,80.95,True,True,True,True,False,True,True,True,False
2893,IOT,33.58,34.59,30.68,29.72,29.2,True,16.89,39.4,76.98,True,True,True,True,False,True,True,True,False
2894,IOVA,11.9,13.86,8.65,8.19,7.71,True,3.3,17.47,69.84,True,True,True,True,False,True,False,False,False
2895,IP,34.38,36.62,35.72,35.31,34.75,True,29.17,40.85,73.81,False,True,True,True,False,False,True,True,False
2896,IPA,1.23,1.59,1.59,1.77,1.93,False,1.11,4.04,68.25,False,False,False,False,False,False,False,False,False
2897,IPAR,131.33,138.42,135.35,135.87,136.31,True,121.48,155.12,85.71,False,False,True,False,False,False,True,True,False
2898,IPDN,1.46,1.88,1.98,2.2,2.43,False,1.17,5.49,72.22,False,False,False,False,False,False,False,True,False
2899,IPG,31.1,31.92,31.09,31.76,32.5,False,27.56,40.88,74.6,False,False,False,False,False,False,True,True,False
2900,IPGP,85.99,87.98,94.69,99.4,103.49,False,83.71,139.71,85.71,False,False,False,False,False,False,False,True,False
2901,IPHA,2.47,2.53,2.55,2.66,2.72,False,2.17,3.5,76.19,False,False,False,False,False,False,False,True,False
2902,IPI,19.8,20.2,20.78,22.06,22.23,False,17.58,27.7,76.19,False,False,False,False,False,False,False,True,False
2903,IPSC,3.19,4.14,3.01,2.94,2.91,True,1.28,5.32,67.46,True,True,True,True,False,True,False,False,False
2904,IPW,0.49,0.59,0.57,0.63,0.7,False,0.4,1.4,73.81,False,False,False,False,False,False,False,True,False
2905,IPWR,7.78,9.45,8.74,9.36,9.66,False,6.8,13.38,66.67,False,False,False,False,False,False,False,False,False
2906,IPX,13.8,14.57,11.23,10.34,9.7,True,5.6,15.7,94.44,True,True,True,True,False,True,True,True,False
2907,IPXXU,10.58,10.5,10.41,10.36,10.32,True,10.06,10.86,85.71,True,True,True,True,True,False,True,True,False
2908,IQ,4.59,3.98,4.32,4.56,4.65,False,3.17,6.34,71.43,True,False,False,False,True,True,False,True,False
2909,IQI,9.34,9.54,9.18,9.2,9.21,True,8.06,9.75,77.78,True,False,True,False,False,False,True,True,False
2910,IQV,238.15,244.37,220.11,220.04,217.9,True,177.16,259.1,84.13,True,True,True,True,False,True,True,True,False
2911,IR,90.33,91.13,77.76,75.1,72.43,True,53.41,95.26,90.48,True,True,True,True,False,True,True,True,False
2912,IRAA,10.62,10.56,10.44,10.43,10.41,True,10.07,10.7,78.57,True,True,True,True,True,False,True,True,False
2913,IRBT,7.14,9.72,24.72,28.57,32.06,False,6.74,51.0,63.49,False,False,False,False,False,False,False,False,False
2914,IRDM,28.67,27.67,35.62,39.68,43.06,False,24.65,64.96,63.49,False,False,False,False,True,False,False,False,False
2915,IREN,5.6,5.63,4.84,5.01,4.94,True,2.83,9.56,69.84,True,False,True,False,False,True,False,False,False
2916,IRIX,3.03,2.77,2.69,2.47,2.37,True,1.33,3.53,88.1,True,True,True,True,True,True,True,True,True
2917,IRM,76.87,76.65,68.17,66.47,64.47,True,53.15,81.37,106.35,True,True,True,True,True,True,True,True,True
2918,IRMD,42.53,43.02,43.0,43.97,44.55,False,37.31,50.61,78.57,False,False,False,False,False,False,True,True,False
2919,IRON,28.03,53.52,54.25,53.38,54.79,True,26.98,75.32,86.51,False,True,True,False,False,False,False,True,False
2920,IROQ,16.37,16.6,15.61,15.51,15.35,True,13.78,17.95,78.57,True,True,True,True,False,False,True,True,False
2921,IRS,9.96,8.74,7.99,8.01,7.89,True,5.77,10.25,77.78,True,False,True,False,True,True,True,True,False
2922,IRT,15.89,15.58,14.7,15.2,15.42,False,12.09,18.63,75.4,True,False,False,False,True,True,True,True,False
